iter	Accuracy	Logloss
0	0.6116974018	0.6916092102
1	0.6116974018	0.690189337
2	0.6117825111	0.6880133882
3	0.6117825111	0.6867702182
4	0.6116974018	0.685601092
5	0.6116974018	0.6842096846
6	0.6117693696	0.6828450339
7	0.6117333857	0.6818738691
8	0.6117333857	0.6808643109
9	0.6116974018	0.6799502368
10	0.6116974018	0.6791286263
11	0.6116974018	0.6782100143
12	0.6116974018	0.67743687
13	0.6116974018	0.6767657653
14	0.6116974018	0.6754627253
15	0.6116974018	0.6747207436
16	0.6116974018	0.6741059537
17	0.6116974018	0.6735825313
18	0.6116974018	0.673089036
19	0.6116974018	0.6726260952
20	0.6116974018	0.6719984677
21	0.6116974018	0.6714453772
22	0.6116974018	0.6709906171
23	0.6116974018	0.6695403765
24	0.6116974018	0.6692020485
25	0.6116974018	0.66888385
26	0.6116974018	0.6685845809
27	0.6116974018	0.6682594549
28	0.6116974018	0.6677403992
29	0.6116974018	0.6674916575
30	0.6116974018	0.667257705
31	0.6116974018	0.6670343185
32	0.6116974018	0.6666769169
33	0.6116974018	0.6664533094
34	0.6116974018	0.6656397778
35	0.6116974018	0.6653102658
36	0.6116974018	0.6649555012
37	0.6116974018	0.6648017735
38	0.6116974018	0.6646060108
39	0.6116974018	0.6638831433
40	0.6116974018	0.6636489782
41	0.6117333857	0.6634118144
42	0.6117333857	0.6631929867
43	0.6117333857	0.6630379852
44	0.6117333857	0.662743837
45	0.6117333857	0.6626521805
46	0.6117333857	0.6625033754
47	0.6117333857	0.6623859178
48	0.6117333857	0.6623096819
49	0.6117333857	0.6622324813
50	0.6117333857	0.6621424128
51	0.6117333857	0.6620746298
52	0.6117333857	0.6619419149
53	0.6117333857	0.6618055813
54	0.6117333857	0.6616121509
55	0.6117333857	0.6615574375
56	0.6117333857	0.6613891758
57	0.6117333857	0.6613453636
58	0.6117333857	0.6612070008
59	0.6117333857	0.6610437654
60	0.6117333857	0.6608459463
61	0.6117333857	0.6608117825
62	0.6117333857	0.6602145391
63	0.6117333857	0.6601846743
64	0.6117333857	0.66012485
65	0.6117333857	0.6600984284
66	0.6117333857	0.660073571
67	0.6117236848	0.6598480757
68	0.6116877008	0.6598145076
69	0.6117008424	0.6596293202
70	0.6117008424	0.6596099177
71	0.6117139839	0.6590564623
72	0.6119298874	0.6584298933
73	0.6119298874	0.6584002442
74	0.6119298874	0.6583855244
75	0.6118939035	0.6583716754
76	0.6121589325	0.6582672717
77	0.6121589325	0.6582550203
78	0.6121852155	0.6577723525
79	0.6124536851	0.6571307229
80	0.6124536851	0.6571208618
81	0.6124177012	0.6571115837
82	0.6124177012	0.657102647
83	0.6124834087	0.6567560191
84	0.6125325341	0.6562724543
85	0.6125553766	0.6561617738
86	0.6125553766	0.6561550964
87	0.6126404859	0.6560788251
88	0.6127615792	0.6559642766
