iter	Passed	Remaining
0	63	63211
1	174	87079
2	221	73581
3	289	72086
4	325	64724
5	346	57450
6	369	52459
7	397	49295
8	419	46242
9	454	44966
10	476	42833
11	504	41562
12	525	39926
13	546	38475
14	570	37453
15	589	36252
16	620	35874
17	654	35700
18	674	34830
19	693	33958
20	716	33404
21	742	33024
22	762	32398
23	793	32249
24	819	31967
25	850	31848
26	873	31467
27	904	31401
28	928	31080
29	960	31069
30	980	30650
31	1014	30681
32	1043	30577
33	1078	30643
34	1106	30510
35	1131	30289
36	1162	30257
37	1186	30028
38	1213	29906
39	1246	29918
40	1264	29587
41	1287	29363
42	1306	29082
43	1336	29040
44	1369	29065
45	1406	29161
46	1435	29099
47	1467	29108
48	1485	28840
49	1505	28613
50	1529	28465
51	1552	28300
52	1571	28073
53	1606	28141
54	1639	28167
55	1668	28125
56	1703	28188
57	1727	28056
58	1761	28100
59	1809	28346
60	1847	28442
61	1879	28431
62	1899	28258
63	1927	28196
64	1956	28149
65	1987	28119
66	2021	28154
67	2044	28023
68	2075	27997
69	2104	27962
70	2122	27771
71	2152	27749
72	2171	27569
73	2204	27584
74	2222	27413
75	2245	27296
76	2274	27266
77	2297	27151
78	2317	27020
79	2338	26895
80	2362	26800
81	2394	26802
82	2431	26863
83	2462	26851
84	2486	26766
85	2511	26688
86	2535	26611
87	2552	26457
88	2582	26436
89	2607	26367
90	2639	26365
91	2665	26311
92	2683	26168
93	2701	26038
94	2733	26036
95	2751	25910
96	2773	25820
97	2802	25791
98	2833	25787
99	2865	25786
100	2886	25691
101	2910	25627
102	2937	25586
103	2956	25473
104	2987	25468
105	3025	25514
106	3042	25390
107	3073	25386
108	3107	25401
109	3125	25285
110	3159	25302
111	3177	25190
112	3198	25106
113	3221	25037
114	3245	24974
115	3263	24873
116	3290	24834
117	3326	24867
118	3357	24855
119	3379	24780
120	3406	24745
121	3426	24656
122	3456	24644
123	3488	24644
124	3514	24599
125	3538	24546
126	3556	24444
127	3586	24430
128	3606	24349
129	3625	24263
130	3645	24184
131	3663	24087
132	3687	24034
133	3719	24035
134	3749	24025
135	3766	23927
136	3792	23889
137	3825	23892
138	3850	23852
139	3882	23850
140	3906	23801
141	3938	23800
142	3956	23709
143	3975	23634
144	3993	23548
145	4016	23492
146	4037	23428
147	4064	23400
148	4098	23410
149	4119	23346
150	4140	23277
151	4159	23206
152	4192	23210
153	4227	23225
154	4245	23147
155	4276	23138
156	4302	23100
157	4319	23018
158	4337	22941
159	4356	22874
160	4380	22826
161	4403	22779
162	4424	22722
163	4460	22736
164	4491	22731
165	4512	22672
166	4531	22604
167	4548	22525
168	4566	22455
169	4585	22388
170	4615	22373
171	4651	22391
172	4686	22404
173	4714	22380
